variant,case_id,complexity,category,P@5,R@5,F1@5,nDCG@5,MAP,MRR,rank_changed_at5,mean_abs_score_delta,n_detected_problems,h2l_mean_top5
w/o IDF Specificity,ADV_001,moderate,adversarial_l2_test,0.0,0.0,0.0,0.0,0.0,0.0,False,0.004635034162177282,1,0.08056657999999998
w/o IDF Specificity,ADV_002,moderate,adversarial_l2_test,0.0,0.0,0.0,0.0,0.0,0.0,False,0.00034315295192825687,2,0.0018157919999999997
w/o IDF Specificity,ADV_003,moderate,adversarial_l2_test,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0015693277285398286,1,0.025188012
w/o IDF Specificity,ADV_004,moderate,adversarial_l2_test,0.0,0.0,0.0,0.0,0.0,0.0,False,0.004194296811179114,1,0.078672172
w/o IDF Specificity,ADV_005,moderate,adversarial_l2_test,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,False,0.0034751284583951505,1,0.045972264000000006
w/o IDF Specificity,NEG_SH_POS,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.4,0.5,0.4444444444444445,0.6366824387328317,0.7678571428571428,1.0,False,0.06921070916950717,1,0.719604128
w/o IDF Specificity,NEG_SH_NEG,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0022672300813710695,1,0.064148978
w/o IDF Specificity,NEG_SM_POS,simple,เคสปัญหาด้านการเงิน,0.6,0.75,0.6666666666666665,0.75369761125927,0.6810897435897436,1.0,False,0.04441353967163509,2,0.32360419
w/o IDF Specificity,NEG_SM_NEG,simple,เคสปัญหาด้านการเงิน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.017931120647571498,2,0.129466014
w/o IDF Specificity,NEG_SL_POS,simple,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.0,0.0,0.0,0.0,0.0,0.0,False,0.003009254614339777,2,0.015523636000000002
w/o IDF Specificity,NEG_SL_NEG,simple,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.0,0.0,0.0,0.0,0.0,0.0,False,0.00107474224948847,1,0.007837064
w/o IDF Specificity,NEG_MH_POS,complex,เคสประสบปัญหาถูกกระทำความรุนแรง,0.4,0.4,0.4000000000000001,0.5052077707304854,0.6055555555555554,1.0,False,0.35578923721269706,3,2.5316737419999997
w/o IDF Specificity,NEG_MH_NEG,complex,เคสประสบปัญหาถูกกระทำความรุนแรง,0.0,0.0,0.0,0.0,0.0,0.0,False,0.18379184147421354,4,1.2287929659999999
w/o IDF Specificity,NEG_MM_POS,moderate,เคสปัญหาครอบครัว,0.0,0.0,0.0,0.0,0.0,0.0,False,0.10728727327185178,5,0.606499858
w/o IDF Specificity,NEG_MM_NEG,moderate,เคสปัญหาครอบครัว,0.0,0.0,0.0,0.0,0.0,0.0,False,0.1489875964447585,6,0.87839178
w/o IDF Specificity,NEG_ML_POS,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.025213196451827482,3,0.16543829000000002
w/o IDF Specificity,NEG_ML_NEG,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.07393549910504402,4,0.495498222
w/o IDF Specificity,NEG_LH_POS,complex,เคสประสบปัญหาถูกกระทำความรุนแรง,0.6,0.75,0.6666666666666665,0.8318724637288826,0.8928571428571428,1.0,False,0.9692811714068553,5,5.1540833720000006
w/o IDF Specificity,NEG_LH_NEG,complex,เคสประสบปัญหาถูกกระทำความรุนแรง,0.0,0.0,0.0,0.0,0.0,0.0,False,0.027574150220563757,3,0.17725306600000001
w/o IDF Specificity,NEG_LM_POS,complex,เคสปัญหาครอบครัว,0.0,0.0,0.0,0.0,0.18560606060606064,0.125,False,0.39440351559407333,6,2.3773113419999996
w/o IDF Specificity,NEG_LM_NEG,complex,เคสปัญหาครอบครัว,0.0,0.0,0.0,0.0,0.0,0.0,True,0.020093820593210892,0,0.030973406
w/o IDF Specificity,NEG_LL_POS,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.6083503145808952,4,3.09268593
w/o IDF Specificity,NEG_LL_NEG,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.38685402041548894,5,1.93329277
w/o IDF Specificity,NEG_SH_POS_V2,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.6,0.75,0.6666666666666665,0.8318724637288826,0.875,1.0,False,0.05504246444272805,1,0.6720608479999999
w/o IDF Specificity,NEG_SH_NEG_V2,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0015443035290122168,1,0.08310985
w/o IDF Specificity,NEG_SM_POS_V2,simple,เคสปัญหาครอบครัว,0.0,0.0,0.0,0.0,0.0,0.0,False,0.011249549252052831,2,0.10392950199999999
w/o IDF Specificity,NEG_SM_NEG_V2,simple,เคสปัญหาครอบครัว,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0032597841763957556,3,0.019231276
w/o IDF Specificity,NEG_SL_POS_V2,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.019038220651160752,0,0.030304622000000003
w/o IDF Specificity,NEG_SL_NEG_V2,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.014603990860919963,0,0.030000359999999997
w/o IDF Specificity,NEG_MH_POS_V2,complex,เด็กและสตรี,0.0,0.0,0.0,0.0,0.0,0.0,False,0.08479409742777105,3,0.6571887359999999
w/o IDF Specificity,NEG_MH_NEG_V2,complex,เด็กและสตรี,0.0,0.0,0.0,0.0,0.0,0.0,False,0.056760748028934147,4,0.373984596
w/o IDF Specificity,NEG_MM_POS_V2,moderate,ปัญหาครอบครัว,0.0,0.0,0.0,0.0,0.0,0.0,False,0.022146938665362256,4,0.13365096599999998
w/o IDF Specificity,NEG_MM_NEG_V2,moderate,ปัญหาครอบครัว,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0013201810362055962,2,0.007534034
w/o IDF Specificity,NEG_ML_POS_V2,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.015018017250909876,2,0.134353104
w/o IDF Specificity,NEG_ML_NEG_V2,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0005576616771715034,1,0.007053378000000001
w/o IDF Specificity,NEG_LH_POS_V2,complex,รุนแรง/วัยรุ่น,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,False,0.0870321278786215,6,0.492159586
w/o IDF Specificity,NEG_LH_NEG_V2,complex,รุนแรง/วัยรุ่น,0.0,0.0,0.0,0.0,0.0,0.0,False,0.05023645053722437,7,0.26479234199999996
