variant,case_id,complexity,category,P@5,R@5,F1@5,nDCG@5,MAP,MRR,rank_changed_at5,mean_abs_score_delta,n_detected_problems
w/o Negation Gate,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.09495710852587509,2
w/o Negation Gate,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0,False,0.29426058361760504,4
w/o Negation Gate,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04989887134406609,0
w/o Negation Gate,ELDER_001,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.03889277436255863,1
w/o Negation Gate,ELDER_002,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0155415569668724,6
w/o Negation Gate,ELDER_003,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.08890711876481354,2
w/o Negation Gate,ELDER_004,complex,ผู้สูงอายุ,0.6,0.375,0.4615384615384615,0.6843515475204855,0.705384199134199,1.0,False,2.202621704322999,10
w/o Negation Gate,ELDER_005,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.15516339358903106,2
w/o Negation Gate,ELDER_006,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.8680134137044864,5
w/o Negation Gate,ELDER_007,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05053302983350959,0
w/o Negation Gate,ELDER_008,complex,ผู้สูงอายุ,0.4,0.5,0.4444444444444445,0.4232448892278954,0.42658730158730157,0.3333333333333333,False,1.3290103037451635,6
w/o Negation Gate,ELDER_009,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,0.49201059554894316,4
w/o Negation Gate,ELDER_010,complex,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.3954077458264477,3
w/o Negation Gate,DISABLED_001,simple,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.11433389160493752,2
w/o Negation Gate,DISABLED_002,moderate,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.09347907552178161,2
w/o Negation Gate,DISABLED_003,complex,คนพิการ,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5833333333333334,1.0,False,0.0320273158270673,1
w/o Negation Gate,DISABLED_004,moderate,คนพิการ,0.0,0.0,0.0,0.0,0.1,0.1,False,0.23658138686210292,3
w/o Negation Gate,DISABLED_005,simple,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.24412109052176117,3
Product Feature Mode,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.013236618411239036,2
Product Feature Mode,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0,False,0.010504070838234831,5
Product Feature Mode,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.016747117406872604,2
Product Feature Mode,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0,False,0.007830751269655815,4
Product Feature Mode,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04989887134406609,0
Product Feature Mode,ELDER_001,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.024612797630533517,1
Product Feature Mode,ELDER_002,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.052358065132210196,6
Product Feature Mode,ELDER_003,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.012493024899124867,2
Product Feature Mode,ELDER_004,complex,ผู้สูงอายุ,0.6,0.375,0.4615384615384615,0.6843515475204855,0.705384199134199,1.0,False,0.03364913762586161,10
Product Feature Mode,ELDER_005,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.024845631542993338,2
Product Feature Mode,ELDER_006,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.019450838348179497,5
Product Feature Mode,ELDER_007,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05053302983350959,0
Product Feature Mode,ELDER_008,complex,ผู้สูงอายุ,0.4,0.5,0.4444444444444445,0.4232448892278954,0.42658730158730157,0.3333333333333333,False,0.010415720960500306,6
Product Feature Mode,ELDER_009,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,0.018773357838619,4
Product Feature Mode,ELDER_010,complex,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.02924000132792181,3
Product Feature Mode,DISABLED_001,simple,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.01836501123394802,2
Product Feature Mode,DISABLED_002,moderate,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.014412491087145493,2
Product Feature Mode,DISABLED_003,complex,คนพิการ,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5833333333333334,1.0,False,0.015129801071945637,1
Product Feature Mode,DISABLED_004,moderate,คนพิการ,0.0,0.0,0.0,0.0,0.1,0.1,False,0.01916383196854055,3
Product Feature Mode,DISABLED_005,simple,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.01822589894698158,3
